tweet,date,tagged,keywords,events,selected
Lilge dit avoir dit à #Magnotta qu'il avait droit à un avocat dans la foulée de son arrestation.,10/28/2014,Lilge_NPP dit_V avoir_VINF dit_VPP à_P #Magnotta_NPP qu'il_NPP avait_V droit_N à_P un_DET avocat_NC dans_P la_DET foulée_NC de_P son_DET arrestation_NC,Lilge dit avoir qu'il avait avocat foulée arrestation,arrestation,
"Lilge maintenant contre-interrogé par l'avaocat de #Magnotta, Luc Leclair.",10/28/2014,Lilge_NPP maintenant_ADV contre-interrogé_VPP par_P l'avaocat_NC de_P #Magnotta_NPP Luc_NPP Leclair_NPP,Lilge contre-interrogé l'avaocat Luc Leclair,procedure,
"#Magnotta a fait tout ce qu'on lui a demandé, sans problème, poursuit Lilge. Je crois qu'il me comprenait bien en anglais.",10/28/2014,#Magnotta_NPP a_V fait_VPP tout_ADV ce_DET qu'on_NC lui_CLO a_V demandé_VPP sans_P problème_NC poursuit_V Lilge_NPP Je_CLS crois_V qu'il_DET me_CLO comprenait_V bien_ADV en_P anglais_NC,fait qu'on demandé problème poursuit Lilge crois comprenait anglais,arrestation,
"#Magnotta avait un sourire dans l'autopatrouille, dit Lilge. J'ai senti qu'il était soulagé. Il faisait ce qu'on lui disait",10/28/2014,#Magnotta_NPP avait_V un_DET sourire_NC dans_P l'autopatrouille_NC dit_V Lilge_NPP J'ai_NPP senti_V qu'il_ADV était_V soulagé_VPP Il_CLS faisait_V ce_DET qu'on_NC lui_CLO disait_V,avait sourire l'autopatrouille dit Lilge J'ai senti était soulagé faisait qu'on disait,arrestation,1
"Lui ai dit qu'il y avait mandat international, l'ai amené à la voiture. Il était pressé, ne voulait pas que la presse arrive #Magnotta",10/28/2014,Lui_PRO ai_V dit_VPP qu'il_PRO y_CLO avait_V mandat_N international_ADJ l'ai_ADJ amené_VPP à_P la_DET voiture_NC Il_CLS était_V pressé_VPP ne_ADV voulait_V pas_ADV que_CS la_DET presse_NC arrive_V #Magnotta_NPP,ai dit avait international l'ai amené voiture était pressé voulait presse arrive,arrestation,
"""Vouz m'avez eu""a dit #Magnotta. ""Je suis l'homme que vous cherchez, selon policier Lilge.""",10/28/2014,Vouz_NPP m_NC '_ADJ avez_V eua_ADV dit_VPP #Magnotta_ET Je_CLS suis_V l'homme_ADJ que_CS vous_CLS cherchez_V selon_P policier_NC Lilge_NPP,Vouz avez dit suis l'homme cherchez policier Lilge,arrestation,
"#Magnotta a commencé à tremebler, à transpirer. C'était clair qu'il y avait qq chose avec lui, dit Lilge.",10/28/2014,#Magnotta_NPP a_V commencé_VPP à_P tremebler_VINF à_P transpirer_VINF C'était_DET clair_ADJ qu'il_NC y_CLO avait_V qq_DET chose_NC avec_P lui_PRO dit_V Lilge_NPP,commencé tremebler transpirer clair qu'il avait chose dit Lilge,arrestation,1
Lilge a rédigé un rapport sur l'arrestation. On y lit que #Magnotta lui a dit venir de New York.,10/28/2014,Lilge_NPP a_V rédigé_VPP un_DET rapport_NC sur_P l'arrestation_NC On_CLS y_CLO lit_V que_CS #Magnotta_NPP lui_CLO a_V dit_VPP venir_VINF de_P New_DET York_DET,Lilge rédigé rapport l'arrestation lit dit venir,arrestation,
"#Magnotta m'a dit qu'il était Américain, ajoute Lilge.",10/28/2014,#Magnotta_NPP m_NC '_ADJ a_V dit_VPP qu'il_NC était_V Américain_ADJ ajoute_V Lilge_NPP,dit qu'il était Américain ajoute Lilge,arrestation,
"#Magnotta est devenu nerveux. Je lui ai demandé de me suivre. Il m'avait dit qu'il voyageait en Europe, visitait des amis -Lilge",10/28/2014,#Magnotta_NPP est_V devenu_VPP nerveux_ADJ Je_CLS lui_CLO ai_V demandé_VPP de_P me_CLO suivre_VINF Il_CLS m_NC '_ADJ avait_V dit_VPP qu'il_DET voyageait_V en_P Europe_NPP visitait_V des_DET amis_NC -_PUNC Lilge_NPP,est devenu nerveux ai demandé suivre avait dit voyageait Europe visitait amis Lilge,arrestation,1
"#Magnotta m'a dit qu'il n'avait pas de papiers d'identité. M'a dit qu'il s'appelait Kirk Tramell, poursuit Lilge.",10/28/2014,#Magnotta_NPP m_NC '_ADJ a_V dit_VPP qu'il_DET n'avait_V pas_ADV de_P papiers_NC d'identité_VPP M_N '_N a_V dit_VPP qu'il_ET s_ET '_ET appelait_V Kirk_NPP Tramell_NPP poursuit_V Lilge_NPP,dit n'avait papiers d'identité appelait Kirk Tramell poursuit Lilge,arrestation,1
"Quand #Magnotta nous a vus, il a regardé le nombre de policiers. Je lui ai demandé des papiers d'identité, relate Lilge.",10/28/2014,Quand_CS #Magnotta_NPP nous_CLO a_V vus_VPP il_CLS a_V regardé_VPP le_DET nombre_NC de_P policiers_NC Je_CLS lui_CLO ai_V demandé_VPP des_DET papiers_NC d'identité_VPP relate_V Lilge_NPP,vus regardé nombre policiers ai demandé papiers d'identité relate Lilge,arrestation,
"Lilge est entré avec ses collègues, s'est approché de #Magnotta, qui n'a pas réalisé ce qui se passait au départ.",10/28/2014,Lilge_NPP est_V entré_VPP avec_P ses_DET collègues_NC s_ET '_ET est_V approché_VPP de_P #Magnotta_NPP qui_PROREL n_N '_ADJ a_V pas_ADV réalisé_VPP ce_PRO qui_PROREL se_CLR passait_V au_P départ_NC,Lilge est entré collègues approché réalisé passait départ,arrestation,
"J'ai dit à mes étudiants de googler #Magnotta. Le propriétaire a confirmé que c'était lui. Nous a dit où il était assis, dit Lilge.",10/28/2014,J'ai_NPP dit_V à_P mes_DET étudiants_NC de_P googler_VINF #Magnotta_NPP Le_DET propriétaire_NC a_V confirmé_VPP que_CS c_DET '_NC était_V lui_CLO Nous_CLS a_V dit_VPP où_PROREL il_CLS était_V assis_VPP dit_V Lilge_NPP,J'ai dit étudiants googler propriétaire confirmé était assis Lilge,arrestation,
"Le 4 juin 2012, le propriétaire d'un café Internet nous a fait signe, ns a dit qu'il croyait qu'un criminel canadien s'y trouvait #Magnotta",10/28/2014,Le_DET 4_ADJ juin_NC 2012_N le_DET propriétaire_NC d'un_ADJ café_NC Internet_NPP nous_CLO a_V fait_VPP signe_NC ns_ET a_V dit_VPP qu'il_DET croyait_V qu'un_DET criminel_NC canadien_ADJ s_ET '_ET y_CLO trouvait_V #Magnotta_NPP,4 juin propriétaire d'un café Internet fait signe dit croyait criminel canadien trouvait,arrestation,1
Lilge patrouillait avec un collègue et 7-8 étudiants à Berlin le 4 juin 2012. #Magnotta,10/28/2014,Lilge_NPP patrouillait_V avec_P un_DET collègue_NC et_CC 7-8_DET étudiants_NC à_P Berlin_NPP le_DET 4_ADJ juin_NC 2012_N #Magnotta_N,Lilge patrouillait collègue étudiants Berlin 4 juin,arrestation,
"Fin du témoignage d'Emmert. Nouveau témoin de la Couronne est Mark Lilge, policier. Témoignage enregistré le 2 juillet dernier #Magnotta",10/28/2014,Fin_NC du_P témoignage_NC d'Emmert_NPP Nouveau_ADJ témoin_NC de_P la_DET Couronne_NC est_V Mark_NC Lilge_NPP policier_NC Témoignage_NPP enregistré_VPP le_DET 2_ADJ juillet_NC dernier_ADJ #Magnotta_NPP,Fin témoignage d'Emmert Nouveau témoin Couronne est Mark Lilge policier Témoignage enregistré 2 juillet dernier,procedure,
Emmert maintenant contre-interrogée par l'avocat de #Magnotta.,10/28/2014,Emmert_NPP maintenant_ADV contre-interrogée_VPP par_P l'avocat_N de_P #Magnotta_NPP,Emmert contre-interrogée,procedure,
"Ce fut une conversation très courte, dit Emmert. Elle reconnaît #Magnotta sur un écran, mais il était plus mince à l'époque.",10/28/2014,Ce_CLS fut_V une_DET conversation_NC très_ADV courte_ADJ dit_V Emmert_N Elle_CLS reconnaît_V #Magnotta_NPP sur_P un_DET écran_NC mais_CC il_CLS était_V plus_ADV mince_ADJ à_P l'époque_NC,fut conversation courte dit reconnaît écran était mince l'époque,Berlin,
"Emmert décrit la rencontre avec #Magnotta. Il était calme, n'avait pas d'émotions, dit-elle, à l'instar de Huebner.",10/28/2014,Emmert_NPP décrit_V la_DET rencontre_NC avec_P #Magnotta_NPP Il_CLS était_V calme_ADJ n'avait_V pas_ADV d'émotions_NC dit-elle_V à_P l'instar_N de_P Huebner_N,Emmert décrit rencontre était calme n'avait d'émotions dit-elle,Berlin,
Emmert a rencontré #Magnotta avec Huebner le 4 juin 2012.,10/28/2014,Emmert_NPP a_V rencontré_VPP #Magnotta_NPP avec_P Huebner_NPP le_DET 4_ADJ juin_NC 2012_N,Emmert rencontré Huebner 4 juin,Berlin,
Procès #Magnotta reprend. Nouveau témoin de la Couronne est Marianne Emmert (?). Témoignage enregistré le 2 juillet à Berlin.,10/28/2014,Procès_NPP #Magnotta_NPP reprend_V Nouveau_ADJ témoin_NC de_P la_DET Couronne_NC est_V Marianne_NPP Emmert_NPP ?_PUNC Témoignage_NC enregistré_VPP le_DET 2_ADJ juillet_NC à_P Berlin_NPP,Procès reprend Nouveau témoin Couronne est Marianne Emmert Témoignage enregistré 2 juillet Berlin,procedure,
Huebner ne se souvient pas avoir dit à #Magnotta qu'il avait droit à un avocat. Fin du témoignage. Pause de 20 minutes.,10/28/2014,Huebner_NPP ne_ADV se_CLR souvient_V pas_ADV avoir_VINF dit_VPP à_P #Magnotta_NPP qu'il_NPP avait_V droit_N à_P un_DET avocat_NC Fin_NC du_P témoignage_NC Pause_N de_P 20_DET minutes_NC,Huebner souvient avoir dit qu'il avait avocat Fin témoignage minutes,arrestation,
Huebner dit avoir respecté le droit au silence de #Magnotta. Mais il ne peut dire combien de fois il a essayé de lui parler.,10/28/2014,Huebner_VINF dit_V avoir_VINF respecté_VPP le_DET droit_NC au_P silence_NC de_P #Magnotta_NPP Mais_CC il_CLS ne_ADV peut_V dire_VINF combien_ADV de_DET fois_NC il_CLS a_V essayé_VPP de_P lui_CLO parler_VINF,Huebner dit avoir respecté droit silence peut dire fois essayé parler,arrestation,
"#Magnotta ne semblait pas avoir d'émotions quand je lui ai parlé, dit Huebner, incapable de dire s'il était poli à ce moment.",10/28/2014,#Magnotta_NPP ne_ADV semblait_V pas_ADV avoir_VINF d'émotions_NC quand_CS je_CLS lui_CLO ai_V parlé_VPP dit_V Huebner_N incapable_ADJ de_P dire_VINF s_ET '_ET il_CLS était_V poli_VPP à_P ce_DET moment_NC,semblait avoir d'émotions ai parlé dit incapable dire était poli moment,arrestation,
Huebner n'a pas revu #Magnotta par la suite. Fin de l'interrogatoire principal. Me Leclair le contre-interroge.,10/28/2014,Huebner_VINF n_NC '_NC a_V pas_ADV revu_VPP #Magnotta_NPP par_P la_DET suite_N Fin_NC de_P l'interrogatoire_NC principal_ADJ Me_NC Leclair_NPP le_DET contre-interroge_NC,Huebner n revu Fin l'interrogatoire principal Me Leclair contre-interroge,arrestation,
Huebner dit être resté seulement qq minutes dans la cellule. #Magnotta est resté assis sur son lit tout ce temps.,10/28/2014,Huebner_VINF dit_V être_VINF resté_VPP seulement_ADV qq_DET minutes_NC dans_P la_DET cellule_NC #Magnotta_NPP est_V resté_VPP assis_VPP sur_P son_DET lit_NC tout_ADJ ce_DET temps_NC,Huebner dit être resté minutes cellule est assis lit tout temps,arrestation,
"#Magnotta était calme quand j'étais avec lui, dit Huebner, qui était accompagné d'une collègue à cette occasion.",10/28/2014,#Magnotta_NPP était_V calme_ADJ quand_CS j'_CLS étais_V avec_P lui_PRO dit_V Huebner_NPP qui_PROREL était_V accompagné_VPP d'une_DET collègue_NC à_P cette_DET occasion_NC,était calme étais dit Huebner accompagné collègue occasion,arrestation,
"Huebner dit avoir lu ses droits à #Magnotta. Il a dit plusieurs fois qu'il ne voulait pas me parler, dit-il.",10/28/2014,Huebner_VINF dit_V avoir_VINF lu_VPP ses_DET droits_NC à_P #Magnotta_NPP Il_CLS a_V dit_VPP plusieurs_DET fois_NC qu'il_ADV ne_ADV voulait_V pas_ADV me_CLO parler_VINF dit-il_ADV,Huebner dit avoir lu droits fois voulait parler,arrestation,
"Huebner a parlé à #Magnotta en anglais, sans interprète. Lui a dit en gros qu'il voulait lui poser des questions, notamment.",10/28/2014,Huebner_NPP a_V parlé_VPP à_P #Magnotta_NPP en_P anglais_NC sans_P interprète_NC Lui_DET a_V dit_VPP en_P gros_ADJ qu'il_NC voulait_V lui_CLO poser_VINF des_DET questions_NC notamment_ADV,Huebner parlé anglais interprète dit gros qu'il voulait poser questions,arrestation,
"Huebner a rencontré #Magnotta le jour de son arrestation, dans sa cellule.",10/28/2014,Huebner_NPP a_V rencontré_VPP #Magnotta_NPP le_DET jour_NC de_P son_DET arrestation_NC dans_P sa_DET cellule_NC,Huebner rencontré jour arrestation cellule,arrestation,
Huebner explique avoir rencontré deux policiers qui ont arrêté #Magnotta à Berlin 4 juin 2012 pour savoir ce qui s'est passé.,10/28/2014,Huebner_NPP explique_V avoir_VINF rencontré_VPP deux_DET policiers_NC qui_PROREL ont_V arrêté_VPP #Magnotta_NPP à_P Berlin_NPP 4_ADJ juin_NC 2012_N pour_P savoir_VINF ce_PRO qui_PROREL s_ET '_ET est_V passé_VPP,Huebner explique avoir rencontré policiers ont arrêté Berlin 4 juin savoir est passé,arrestation,
"Le témoignage de Huebner a été livré devant commission rogatoire, à Berlin, le 1er juillet dernier. #Magnotta",10/28/2014,Le_DET témoignage_NC de_P Huebner_NPP a_V été_VPP livré_VPP devant_P commission_NC rogatoire_ADJ à_P Berlin_NPP le_DET 1er_ADJ juillet_NC dernier_ADJ #Magnotta_NPP,témoignage Huebner été livré commission rogatoire Berlin 1er juillet dernier,arrestation,
"Témoignage d'Anlayisli terminé. La Couronne présente maintenant celui d'Alexander Huebner, policier #Magnotta",10/28/2014,Témoignage_NPP d'Anlayisli_NPP terminé_VPP La_DET Couronne_NC présente_V maintenant_ADV celui_PRO d'Alexander_VINF Huebner_DET policier_DET #Magnotta_DET,Témoignage d'Anlayisli terminé Couronne présente d'Alexander,procedure,
"#Magnotta n'a pas payé, dit le commis du café Internet de Berlin. La police l'a arrêté avant...",10/28/2014,#Magnotta_DET n_NC '_ADJ a_V pas_ADV payé_VPP dit_V le_DET commis_NC du_P café_NC Internet_NPP de_P Berlin_NPP La_DET police_NC l'_CLO a_V arrêté_VPP avant_P,n payé dit commis café Internet Berlin police arrêté,Berlin,
Anlayisli dit que le comportement de #Magnotta n'avait rien de particulier. Fin de l'interrogatoire principal.,10/28/2014,Anlayisli_NPP dit_V que_CS le_DET comportement_NC de_P #Magnotta_NPP n'avait_V rien_PRO de_P particulier_ADJ Fin_NC de_P l'interrogatoire_NC principal_ADJ,Anlayisli dit comportement n'avait particulier Fin l'interrogatoire principal,Berlin,
Témoin explique que #Magnotta a été dans le café 45 minutes. Il regardait photos de lui publiées par Interpol,10/28/2014,Témoin_NC explique_V que_CS #Magnotta_NPP a_V été_VPP dans_P le_DET café_NC 45_DET minutes_NC Il_CLS regardait_V photos_NC de_P lui_CLO publiées_VPP par_P Interpol_NPP,Témoin explique été café minutes regardait photos publiées Interpol,Berlin,
Témoin explique avoir arrêté des policiers allemands pour les prévenir qu'un type qu'il croyait recherché était dans son café.,10/28/2014,Témoin_NC explique_V avoir_VINF arrêté_VPP des_P policiers_NC allemands_ADJ pour_P les_CLO prévenir_VINF qu'un_DET type_NC qu'il_ADJ croyait_V recherché_VPP était_V dans_P son_DET café_NC,Témoin explique avoir arrêté policiers allemands prévenir type qu'il croyait recherché était café,Berlin,
Témoin décrit arrivée de #Magnotta dans le café. Il dit qu'il avait vu sa photo le matin même dans la presse.,10/28/2014,Témoin_NC décrit_V arrivée_NC de_P #Magnotta_NPP dans_P le_DET café_NC Il_CLS dit_V qu'il_N avait_V vu_VPP sa_DET photo_NC le_DET matin_NC même_ADJ dans_P la_DET presse_NC,Témoin décrit arrivée café dit avait vu photo matin même presse,Berlin,
"Nouveau témoin est commis du café Internet où #Magnotta a été arrêté à Berlin 4 juin 2012. Kadir Anlayisli, si j'en crois mes collègues...",10/28/2014,Nouveau_ADJ témoin_NC est_V commis_VPP du_P café_NC Internet_NPP où_PROREL #Magnotta_NPP a_V été_VPP arrêté_VPP à_P Berlin_NPP 4_ADJ juin_NC 2012_N Kadir_ET Anlayisli_ET si_CS j'_CLS en_CLO crois_V mes_DET collègues_NC,Nouveau témoin est commis café Internet été arrêté Berlin 4 juin crois collègues,Berlin,
Fin du contre-interrogatoire de Miellot par Me Leclair. Couronne fait entendre nouveau témoin allemand. Enregistré 1er juillet dernier.,10/28/2014,Fin_NC du_P contre-interrogatoire_NC de_P Miellot_NPP par_P Me_NC Leclair_NPP Couronne_NPP fait_V entendre_VINF nouveau_ADJ témoin_NC allemand_ADJ Enregistré_NPP 1er_ADJ juillet_NC dernier_ADJ,Fin contre-interrogatoire Miellot Me Leclair Couronne fait entendre nouveau témoin allemand Enregistré 1er juillet dernier,Berlin,
"Départ de #Magnotta vers Berlin: il était facile de le repérer sur les vidéos de surveillance de la gare routière, dit Miellot.",10/28/2014,Départ_N de_P #Magnotta_NPP vers_P Berlin_NPP :_PUNC il_CLS était_V facile_ADJ de_P le_DET repérer_VINF sur_P les_DET vidéos_NC de_P surveillance_NC de_P la_DET gare_N routière_ADJ dit_V Miellot_NPP,Berlin était facile repérer vidéos surveillance routière dit Miellot,Paris,
L'avocat de #Magnotta veut détails sur les trois cartes bancaires utilisées par son client en France.,10/28/2014,L'avocat_NPP de_P #Magnotta_NPP veut_V détails_NC sur_P les_DET trois_ADJ cartes_NC bancaires_ADJ utilisées_VPP par_P son_DET client_NC en_P France_NPP,L'avocat veut détails trois cartes bancaires utilisées client France,Paris,
"Il été facile d'identifier #Magnotta sur vidéos de surveillance de l'aéroport CDG, dit témoin. Il avait même chandail Mickey qu'à Montréal",10/28/2014,Il_CLS été_V facile_ADJ d'identifier_VINF #Magnotta_NPP sur_P vidéos_NC de_P surveillance_NC de_P l'aéroport_NC CDG_NPP dit_V témoin_NC Il_CLS avait_V même_ADV chandail_NC Mickey_NPP qu_V '_DET à_P Montréal_NPP,été facile d'identifier vidéos surveillance l'aéroport CDG dit témoin avait chandail Mickey qu Montréal,Paris,
"Juge Cournoyer prévient jury de ne pas retenir info donnée par Miello, selon laquelle #Magnotta aurait utilisé passeport allemand en France",10/28/2014,Juge_NPP Cournoyer_NPP prévient_V jury_NC de_P ne_ADV pas_ADV retenir_VINF info_N donnée_VPP par_P Miello_NPP selon_P laquelle_PROREL #Magnotta_NPP aurait_V utilisé_VPP passeport_NC allemand_ADJ en_P France_NPP,Juge Cournoyer prévient jury retenir donnée Miello aurait utilisé passeport allemand France,procedure,
"Procès #Magnotta reprend. Nous en sommes au contre-interrogatoire du policier français Julien Miello, enregistré le 26 juin dernier.",10/28/2014,Procès_NPP #Magnotta_NPP reprend_V Nous_CLS en_P sommes_NC au_P contre-interrogatoire_NC du_P policier_NC français_ADJ Julien_NPP Miello_NPP enregistré_VPP le_DET 26_ADJ juin_NC dernier_ADJ,Procès reprend sommes contre-interrogatoire policier français Julien Miello enregistré 26 juin dernier,procedure,
Procès #Magnotta reprend d'une minute à l'autre. La Couronne devrait clôre la présentation de sa preuve aujourd'hui,10/28/2014,Procès_NPP #Magnotta_NPP reprend_V d'une_DET minute_NC à_P l'autre_VINF La_DET Couronne_NC devrait_V clôre_V la_DET présentation_NC de_P sa_DET preuve_NC aujourd_ADJ '_P hui_N,Procès reprend minute l'autre Couronne devrait clôre présentation preuve aujourd,procedure,
Fin de la journée au procès #Magnotta. Contre-interro du policier Miello sera entendu mardi matin.,10/27/2014,Fin_NC de_P la_DET journée_NC au_P procès_NC #Magnotta_NPP Contre-interro_NPP du_P policier_NC Miello_NPP sera_V entendu_VPP mardi_NC matin_NC,Fin journée procès Contre-interro policier Miello serentendu mardi matin,procedure,
